Наименование,Описание,Цена,Старая цена,Местоположение,Ссылка
"<img src=""https://85.img.avito.st/208x156/10837188585.jpg"">","BMW X5, 2021","3.0 AT (400 л.с.), внедорожник, полный, дизель",от 9 985 000 ₽,10 563 400 ₽ без скидки,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2021_2115108194
"<img src=""https://15.img.avito.st/208x156/10731217715.jpg"">","BMW X5, 2020","3.0 AT (249 л.с.), внедорожник, полный, дизель",7 950 000 ₽,-,"Краснодарский край, Новороссийск",https://www.avito.ru/novorossiysk/avtomobili/bmw_x5_2020_2140116824
"<img src=""https://55.img.avito.st/208x156/10696491955.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",от 8 511 500 ₽,9 362 650 ₽ без скидки,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2021_2062678920
"<img src=""https://22.img.avito.st/208x156/10836941922.jpg"">","BMW X5, 2000","313 000 км, 4.4 AT (286 л.с.), внедорожник, полный, бензин",349 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2000_2118689683
"<img src=""https://12.img.avito.st/208x156/10837190612.jpg"">","BMW X5, 2009","200 000 км, 3.0 AT (286 л.с.), внедорожник, полный, дизель",1 235 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2009_2120117880
"<img src=""https://65.img.avito.st/208x156/10657277365.jpg"">","BMW X5, 2021","3.0 AT (340 л.с.), внедорожник, полный, бензин",от 6 540 000 ₽,6 670 000 ₽ без скидки,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2021_2108491150
"<img src=""https://85.img.avito.st/208x156/9108405185.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",7 650 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2021_1958534096
"<img src=""https://42.img.avito.st/208x156/10795762642.jpg"">","BMW X5, 2010","217 000 км, 4.4 AT (407 л.с.), внедорожник, полный, бензин",960 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2010_2124000267
"<img src=""https://56.img.avito.st/208x156/10836618556.jpg"">","BMW X5, 2007","163 450 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",980 000 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2007_2123946259
"<img src=""https://46.img.avito.st/208x156/10195064346.jpg"">","BMW X5, 2006","289 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",775 000 ₽,-,"Кировская область, Кирово-Чепецк",https://www.avito.ru/kirovo-chepetsk/avtomobili/bmw_x5_2006_2078914067
"<img src=""https://75.img.avito.st/208x156/10820967275.jpg"">","BMW X5, 2001","268 000 км, 4.4 AT (286 л.с.), внедорожник, полный, бензин",470 000 ₽,-,"Московская область, Можайский г.о., Можайск",https://www.avito.ru/mozhaysk/avtomobili/bmw_x5_2001_2136162885
"<img src=""https://24.img.avito.st/208x156/10786655124.jpg"">","BMW X5, 2001","200 000 км, 4.4 AT (286 л.с.), внедорожник, полный, бензин",680 000 ₽,-,"Пензенская область, Пенза",https://www.avito.ru/penza/avtomobili/bmw_x5_2001_2007213681
"<img src=""https://79.img.avito.st/208x156/10836535379.jpg"">","BMW X5, 2002","222 347 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",430 000 ₽,-,"Нижегородская область, Нижний Новгород",https://www.avito.ru/nizhniy_novgorod/avtomobili/bmw_x5_2002_2134227806
"<img src=""https://95.img.avito.st/208x156/10837022995.jpg"">","BMW X5, 2008","176 000 км, 3.0 AT (264 л.с.), внедорожник, полный, бензин",935 000 ₽,-,"Республика Крым, Джанкой",https://www.avito.ru/dzhankoy/avtomobili/bmw_x5_2008_2130781440
"<img src=""https://00.img.avito.st/208x156/10837109700.jpg"">","BMW X5, 2007","260 000 км, 3.0 AT (264 л.с.), внедорожник, полный, бензин",1 200 000 ₽,-,"Калининградская область, Калининград",https://www.avito.ru/kaliningrad/avtomobili/bmw_x5_2007_2134558674
"<img src=""https://46.img.avito.st/208x156/10835817546.jpg"">","BMW X5, 2002","350 000 км, 4.4 AT (286 л.с.), внедорожник, полный, бензин",500 000 ₽,-,"Республика Дагестан, Карабудахкентский р-н, с. Карабудахкент",https://www.avito.ru/karabudahkent/avtomobili/bmw_x5_2002_2115423600
"<img src=""https://88.img.avito.st/208x156/9185388288.jpg"">","BMW X5, 2003","340 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",450 000 ₽,-,"Челябинская область, Челябинск",https://www.avito.ru/chelyabinsk/avtomobili/bmw_x5_2003_2006375163
"<img src=""https://55.img.avito.st/208x156/10696491955.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",от 8 511 500 ₽,9 362 650 ₽ без скидки,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2021_2062678920
"<img src=""https://78.img.avito.st/208x156/10753365378.jpg"">","BMW X5, 2017","104 400 км, 3.0 AT (218 л.с.), внедорожник, полный, дизель",2 955 000 ₽,-,"Республика Татарстан, Казань",https://www.avito.ru/kazan/avtomobili/bmw_x5_2017_2087507586
"<img src=""https://80.img.avito.st/208x156/10750411880.jpg"">","BMW X5, 2016","130 744 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",2 628 208 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2016_2103042281
"<img src=""https://84.img.avito.st/208x156/10820899084.jpg"">","BMW X5, 2014","87 000 км, 3.0 AT (381 л.с.), внедорожник, полный, дизель",3 480 000 ₽,-,"Белгородская область, Белгород",https://www.avito.ru/belgorod/avtomobili/bmw_x5_2014_2126277342
"<img src=""https://80.img.avito.st/208x156/10834643480.jpg"">","BMW X5, 2000","280 000 км, 4.4 AT (286 л.с.), внедорожник, полный, бензин",150 000 ₽,-,"Липецкая область, Липецк",https://www.avito.ru/lipetsk/avtomobili/bmw_x5_2000_2133722829
"<img src=""https://86.img.avito.st/208x156/10598178186.jpg"">","BMW X5, 2008","154 000 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",830 000 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2008_2083566399
"<img src=""https://85.img.avito.st/208x156/10603351785.jpg"">","BMW X5, 2004","207 000 км, 4.8 AT (360 л.с.), внедорожник, полный, бензин",550 000 ₽,-,"Карачаево-Черкесская Республика, Черкесск",https://www.avito.ru/cherkessk/avtomobili/bmw_x5_2004_2100333412
"<img src=""https://79.img.avito.st/208x156/10602411479.jpg"">","BMW X5, 2008","227 900 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",860 000 ₽,-,"Чеченская Республика, Грозный",https://www.avito.ru/groznyy/avtomobili/bmw_x5_2008_2097861808
"<img src=""https://56.img.avito.st/208x156/5691556756.jpg"">","BMW X5, 2007","209 100 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",700 000 ₽,-,"Ленинградская область, Всеволожский р-н, Сертоловское городское поселение, Сертолово",https://www.avito.ru/sertolovo/avtomobili/bmw_x5_2007_1597421721
"<img src=""https://24.img.avito.st/208x156/10834415224.jpg"">","BMW X5, 2017","43 200 км, 2.0 AT (245 л.с.), внедорожник, полный, гибрид",3 730 000 ₽,-,"Краснодарский край, Краснодар",https://www.avito.ru/krasnodar/avtomobili/bmw_x5_2017_2110105452
"<img src=""https://18.img.avito.st/208x156/10834112118.jpg"">","BMW X5, 2002","252 800 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",420 000 ₽,-,"Волгоградская область, Михайловка",https://www.avito.ru/volgogradskaya_oblast_mihaylovka/avtomobili/bmw_x5_2002_2125187943
"<img src=""https://99.img.avito.st/208x156/9518816499.jpg"">","BMW X5, 2011","193 000 км, 4.4 AT (407 л.с.), внедорожник, полный, бензин",999 000 ₽,-,"Московская область, Одинцовский г.о., Одинцово",https://www.avito.ru/odintsovo/avtomobili/bmw_x5_2011_1989324588
"<img src=""https://81.img.avito.st/208x156/10761870081.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",от 7 945 600 ₽,8 545 600 ₽ без скидки,"Московская область, г.о. Красногорск, пос. Отрадное",https://www.avito.ru/moskovskaya_oblast_krasnogorsk/avtomobili/bmw_x5_2021_2137776242
"<img src=""https://63.img.avito.st/208x156/10720823563.jpg"">","BMW X5, 2007","231 000 км, 3.0 AT (264 л.с.), внедорожник, полный, бензин",800 000 ₽,-,"Ставропольский край, Ставрополь",https://www.avito.ru/stavropol/avtomobili/bmw_x5_2007_2107942598
"<img src=""https://19.img.avito.st/208x156/10770624219.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",от 7 499 700 ₽,8 199 700 ₽ без скидки,"Московская область, Химки",https://www.avito.ru/himki/avtomobili/bmw_x5_2021_2116460964
"<img src=""https://51.img.avito.st/208x156/10827067951.jpg"">","BMW X5, 2019","30 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",6 000 000 ₽,-,"Брянская область, Брянск",https://www.avito.ru/bryansk/avtomobili/bmw_x5_2019_2139447884
"<img src=""https://82.img.avito.st/208x156/10803604982.jpg"">","BMW X5, 2009","211 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",950 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2009_2119865736
"<img src=""https://43.img.avito.st/208x156/10816428943.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",7 780 100 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2021_2126264386
"<img src=""https://54.img.avito.st/208x156/10827358554.jpg"">","BMW X5, 2008","178 000 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",980 000 ₽,-,"Волгоградская область, Михайловка",https://www.avito.ru/volgogradskaya_oblast_mihaylovka/avtomobili/bmw_x5_2008_2113571629
"<img src=""https://24.img.avito.st/208x156/10581568224.jpg"">","BMW X5, 2021","3.0 AT (400 л.с.), внедорожник, полный, дизель",11 075 900 ₽,-,"Московская область, Химки",https://www.avito.ru/himki/avtomobili/bmw_x5_2021_2084529921
"<img src=""https://78.img.avito.st/208x156/10835845978.jpg"">","BMW X5, 2013","120 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",2 800 000 ₽,-,"Ростовская область, Ростов-на-Дону",https://www.avito.ru/rostov-na-donu/avtomobili/bmw_x5_2013_2129481748
"<img src=""https://40.img.avito.st/208x156/10816428840.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",7 780 100 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2021_2126449850
"<img src=""https://10.img.avito.st/208x156/10705764210.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",8 988 400 ₽,-,"Московская область, Химки",https://www.avito.ru/himki/avtomobili/bmw_x5_2021_2116142723
"<img src=""https://86.img.avito.st/208x156/10836579786.jpg"">","BMW X5, 2007","238 000 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",950 000 ₽,-,"Мурманская область, Мурманск",https://www.avito.ru/murmansk/avtomobili/bmw_x5_2007_2125505120
"<img src=""https://84.img.avito.st/208x156/10836781184.jpg"">","BMW X5, 2008","180 000 км, 3.0 AT (264 л.с.), внедорожник, полный, бензин",888 000 ₽,-,"Воронежская область, Воронеж",https://www.avito.ru/voronezh/avtomobili/bmw_x5_2008_2097139638
"<img src=""https://71.img.avito.st/208x156/9952578471.jpg"">","BMW X5, 2001","429 100 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",450 000 ₽,-,"Тюменская область, Новый Уренгой",https://www.avito.ru/novyy_urengoy/avtomobili/bmw_x5_2001_2029976110
"<img src=""https://47.img.avito.st/208x156/10716878747.jpg"">","BMW X5, 2021","3.0 AT (340 л.с.), внедорожник, полный, бензин",от 6 369 000 ₽,6 670 000 ₽ без скидки,"Краснодарский край, Краснодар",https://www.avito.ru/krasnodar/avtomobili/bmw_x5_2021_2108060866
"<img src=""https://40.img.avito.st/208x156/10836633640.jpg"">","BMW X5, 2016","84 500 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",3 439 000 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2016_2119062187
"<img src=""https://71.img.avito.st/208x156/10836818971.jpg"">","BMW X5, 2018","62 000 км, 2.0 AT (218 л.с.), внедорожник, полный, дизель",3 370 000 ₽,-,"Саратовская область, Саратов",https://www.avito.ru/saratov/avtomobili/bmw_x5_2018_2121894621
"<img src=""https://05.img.avito.st/208x156/10681804705.jpg"">","BMW X5, 2021","3.0 AT (400 л.с.), внедорожник, полный, дизель",10 503 000 ₽,-,"Московская область, Химки",https://www.avito.ru/himki/avtomobili/bmw_x5_2021_2084321957
"<img src=""https://42.img.avito.st/208x156/10795762642.jpg"">","BMW X5, 2010","217 000 км, 4.4 AT (407 л.с.), внедорожник, полный, бензин",960 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2010_2124000267
"<img src=""https://36.img.avito.st/208x156/10753615636.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",от 8 019 700 ₽,8 779 700 ₽ без скидки,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2021_2111845312
"<img src=""https://71.img.avito.st/208x156/10836131671.jpg"">","BMW X5, 2004","340 000 км, 3.0 AT (218 л.с.), внедорожник, полный, дизель",800 000 ₽,-,"Московская область, г.о. Воскресенск, Белоозёрский",https://www.avito.ru/beloozyorskij/avtomobili/bmw_x5_2004_2123077398
"<img src=""https://20.img.avito.st/208x156/10823461820.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",от 7 189 700 ₽,7 889 700 ₽ без скидки,"Московская область, Химки",https://www.avito.ru/himki/avtomobili/bmw_x5_2021_2116431798
"<img src=""https://87.img.avito.st/208x156/10697372187.jpg"">","BMW X5, 2021","3.0 AT (340 л.с.), внедорожник, полный, дизель",от 8 790 000 ₽,9 470 000 ₽ без скидки,"Республика Адыгея, Тахтамукайский р-н, аул Новая Адыгея",https://www.avito.ru/krasnodar/avtomobili/bmw_x5_2021_2129958865
"<img src=""https://44.img.avito.st/208x156/10606741544.jpg"">","BMW X5, 2021","3.0 AT (340 л.с.), внедорожник, полный, дизель",от 8 430 000 ₽,9 273 000 ₽ без скидки,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2021_2094786830
"<img src=""https://64.img.avito.st/208x156/10834203664.jpg"">","BMW X5, 2010","155 000 км, 3.0 AT (245 л.с.), внедорожник, полный, дизель",1 530 000 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2010_2126269246
"<img src=""https://81.img.avito.st/208x156/10834167081.jpg"">","BMW X5, 2002","258 555 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",495 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2002_2126337543
"<img src=""https://79.img.avito.st/208x156/10835568879.jpg"">","BMW X5, 2000","210 009 км, 4.4 AT (286 л.с.), внедорожник, полный, бензин",305 000 ₽,-,"Красноярский край, Канск",https://www.avito.ru/kansk/avtomobili/bmw_x5_2000_2123179106
"<img src=""https://38.img.avito.st/208x156/10835710538.jpg"">","BMW X5, 2012","86 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",1 250 000 ₽,-,"Республика Северная Осетия — Алания, Ардонский р-н, Ардон",https://www.avito.ru/ardon/avtomobili/bmw_x5_2012_2137571811
"<img src=""https://65.img.avito.st/208x156/10657277365.jpg"">","BMW X5, 2021","3.0 AT (340 л.с.), внедорожник, полный, бензин",от 6 540 000 ₽,6 670 000 ₽ без скидки,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2021_2108491150
"<img src=""https://42.img.avito.st/208x156/10795762642.jpg"">","BMW X5, 2010","217 000 км, 4.4 AT (407 л.с.), внедорожник, полный, бензин",960 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2010_2124000267
"<img src=""https://09.img.avito.st/208x156/10836036709.jpg"">","BMW X5, 2009","264 900 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",1 300 000 ₽,-,"Московская область, Одинцовский г.о., Одинцово",https://www.avito.ru/odintsovo/avtomobili/bmw_x5_2009_2128631835
"<img src=""https://32.img.avito.st/208x156/10395818432.jpg"">","BMW X5, 2008","205 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",860 000 ₽,-,"Краснодарский край, Кореновский р-н, Кореновск",https://www.avito.ru/korenovsk/avtomobili/bmw_x5_2008_2094814847
"<img src=""https://48.img.avito.st/208x156/10818905348.jpg"">","BMW X5, 2010","190 000 км, 3.0 AT (286 л.с.), внедорожник, полный, дизель",1 650 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2010_2135526769
"<img src=""https://94.img.avito.st/208x156/10543190794.jpg"">","BMW X5, 2005","183 000 км, 4.4 AT (320 л.с.), внедорожник, полный, бензин",735 000 ₽,-,"Краснодарский край, Краснодар",https://www.avito.ru/krasnodar/avtomobili/bmw_x5_2005_2104573935
"<img src=""https://39.img.avito.st/208x156/10782820239.jpg"">","BMW X5, 2020","4 655 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",6 850 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2020_2139202248
"<img src=""https://40.img.avito.st/208x156/10814047940.jpg"">","BMW X5, 2007","155 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",630 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2007_2130142694
"<img src=""https://98.img.avito.st/208x156/10798032698.jpg"">","BMW X5, 2021","4.4 AT (530 л.с.), внедорожник, полный, бензин",от 9 253 100 ₽,10 003 100 ₽ без скидки,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2021_2137944954
"<img src=""https://62.img.avito.st/208x156/10836577262.jpg"">","BMW X5, 2016","244 322 км, 3.0 AT (218 л.с.), внедорожник, полный, дизель",2 435 000 ₽,-,"Воронежская область, Воронеж",https://www.avito.ru/voronezh/avtomobili/bmw_x5_2016_2111494404
"<img src=""https://65.img.avito.st/208x156/10428053465.jpg"">","BMW X5, 2021","3.0 AT (400 л.с.), внедорожник, полный, дизель",11 118 300 ₽,-,"Московская область, Химки",https://www.avito.ru/himki/avtomobili/bmw_x5_2021_2084438418
"<img src=""https://82.img.avito.st/208x156/10782333382.jpg"">","BMW X5, 2021","3.0 AT (400 л.с.), внедорожник, полный, дизель",от 10 159 000 ₽,10 662 200 ₽ без скидки,"Краснодарский край, Краснодар",https://www.avito.ru/krasnodar/avtomobili/bmw_x5_2021_2140107482
"<img src=""https://03.img.avito.st/208x156/10580861903.jpg"">","BMW X5, 2020","3.0 AT (340 л.с.), внедорожник, полный, бензин",от 7 565 300 ₽,8 315 300 ₽ без скидки,"Московская область, Химки",https://www.avito.ru/himki/avtomobili/bmw_x5_2020_2052782967
"<img src=""https://65.img.avito.st/208x156/10835797365.jpg"">","BMW X5, 2004","336 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",599 000 ₽,-,"Нижегородская область, Дзержинск",https://www.avito.ru/dzerzhinsk/avtomobili/bmw_x5_2004_2120454702
"<img src=""https://92.img.avito.st/208x156/10816428892.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",7 897 500 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2021_2126214582
"<img src=""https://50.img.avito.st/208x156/10644000450.jpg"">","BMW X5, 2007","156 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",700 000 ₽,-,"Забайкальский край, Чита",https://www.avito.ru/chita/avtomobili/bmw_x5_2007_2106034805
"<img src=""https://88.img.avito.st/208x156/10833625388.jpg"">","BMW X5, 2001","300 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",395 000 ₽,-,"Московская область, Коломна",https://www.avito.ru/kolomna/avtomobili/bmw_x5_2001_2119843277
"<img src=""https://99.img.avito.st/208x156/9828619999.jpg"">","BMW X5, 2014","76 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",2 700 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2014_2040119032
"<img src=""https://02.img.avito.st/208x156/10581690502.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",8 659 600 ₽,-,"Московская область, Химки",https://www.avito.ru/himki/avtomobili/bmw_x5_2021_2083984572
"<img src=""https://74.img.avito.st/208x156/10807597974.jpg"">","BMW X5, 2010","174 000 км, 3.0 AT (245 л.с.), внедорожник, полный, дизель",1 485 000 ₽,-,"Владимирская область, Владимир",https://www.avito.ru/vladimir/avtomobili/bmw_x5_2010_2118623878
"<img src=""https://90.img.avito.st/208x156/10580771490.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",8 840 000 ₽,-,"Московская область, Химки",https://www.avito.ru/himki/avtomobili/bmw_x5_2021_2052536860
"<img src=""https://49.img.avito.st/208x156/10629273649.jpg"">","BMW X5, 2020","3.0 AT (400 л.с.), внедорожник, полный, дизель",8 949 000 ₽,-,"Ростовская область, Ростов-на-Дону",https://www.avito.ru/rostov-na-donu/avtomobili/bmw_x5_2020_2104815694
"<img src=""https://55.img.avito.st/208x156/10835839455.jpg"">","BMW X5, 2010","167 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",1 300 000 ₽,-,"Новосибирская область, Новосибирск",https://www.avito.ru/novosibirsk/avtomobili/bmw_x5_2010_2128239920
"<img src=""https://59.img.avito.st/208x156/8635600559.jpg"">","BMW X5, 2013","145 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",2 349 000 ₽,-,"Саратовская область, Саратов",https://www.avito.ru/saratov/avtomobili/bmw_x5_2013_1930155218
"<img src=""https://33.img.avito.st/208x156/10408272333.jpg"">","BMW X5, 2020","3.0 AT (340 л.с.), внедорожник, полный, бензин",от 7 990 000 ₽,8 711 000 ₽ без скидки,"Республика Адыгея, Тахтамукайский р-н, аул Новая Адыгея",https://www.avito.ru/krasnodar/avtomobili/bmw_x5_2020_2066529954
"<img src=""https://68.img.avito.st/208x156/10831569368.jpg"">","BMW X5, 2006","280 000 км, 3.0 AT (218 л.с.), внедорожник, полный, дизель",280 000 ₽,-,"Самарская область, Самара, СТ КПО ЗиМ",https://www.avito.ru/samara/avtomobili/bmw_x5_2006_2134357959
"<img src=""https://66.img.avito.st/208x156/10836749666.jpg"">","BMW X5, 2011","125 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",1 410 000 ₽,-,"Воронежская область, Воронеж",https://www.avito.ru/voronezh/avtomobili/bmw_x5_2011_2097223714
"<img src=""https://08.img.avito.st/208x156/10832913608.jpg"">","BMW X5, 2005","Битый, 200 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",200 000 ₽,-,"Волгоградская область, Волгоград",https://www.avito.ru/volgograd/avtomobili/bmw_x5_2005_2121830522
"<img src=""https://95.img.avito.st/208x156/10278497795.jpg"">","BMW X5, 2011","220 000 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",1 150 000 ₽,-,"Челябинская область, Челябинск",https://www.avito.ru/chelyabinsk/avtomobili/bmw_x5_2011_2065669615
"<img src=""https://41.img.avito.st/208x156/10601648441.jpg"">","BMW X5, 2009","205 000 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",1 200 000 ₽,-,"Ростовская область, Ростов-на-Дону",https://www.avito.ru/rostov-na-donu/avtomobili/bmw_x5_2009_2109411136
"<img src=""https://12.img.avito.st/208x156/10580495312.jpg"">","BMW X5, 2021","4.4 AT (530 л.с.), внедорожник, полный, бензин",11 164 800 ₽,-,"Московская область, Химки",https://www.avito.ru/himki/avtomobili/bmw_x5_2021_2052866990
"<img src=""https://01.img.avito.st/208x156/10835585701.jpg"">","BMW X5, 2005","342 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",900 000 ₽,-,"Красноярский край, Красноярск",https://www.avito.ru/krasnoyarsk/avtomobili/bmw_x5_2005_2141289427
"<img src=""https://21.img.avito.st/208x156/10832394521.jpg"">","BMW X5, 2007","260 000 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",749 000 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2007_2132466491
